英単語,訳,発音,解説,用例,用例・訳
audio,音声；オーディオ,ˈɑdiˌoʊ,"(電波の)可聴周波の,低周波の;(テレビの)音声の 
(テレビの)音声[部門]","The telephone exchange section at the Maritime Self-Defense Force Maizuru District Headquarters (telephone number: 0773-62-2250): select ""a public relations officer"" following the audio guidance.
","海上自衛隊舞鶴地方総監部電話交換係（電話番号：0773-62-2250）音声案内のあとに「広報係｣と。
"
audit,監査,ˈɔdɪt,"会計検査(監査) 
決算報告[書] 
…‘の'会計検査(監査)をする 
《米》(大学の講義)'を'聴講する 
会計検査(監査)をする",he made an audit of all the plants on his property,彼はその資産のすべての工場を監査した
auditor,監査役,ˈɔdɪtər,"《まれ》聞き手,傍聴人 
会計検査官,監査役 
《米》(大学で単位を取らない)聴講生",the auditor did not attend the stocktake or check the valuations,その監査役は、在庫調査も行わず、評価査定も確認しなかった
authority,権限,əˈθɔrəti,"〈U〉(地位の持つ,また職能上与えられた)『権威』,『権力』,権限,権能 
〈C〉『権力者』,権限者;《複数形で》『当局』,その筋,官庁 
〈C〉(情報・助言などの)信頼すべき筋,信頼できる根拠;典拠 
〈C〉(その道の)大家,権威(expert)《+『on』+『名』》",The school authorities started to take action at their request.,彼らの要請に応じて学校側が動き出した。
authorization,"【名/U】権限を与えること,委任；許可すること【名/C】委任状",ˌɔθərəˈzeɪʃən,"【名/U】権限を与えること,委任
許可すること
【名/C】委任状",deputies are given authorization to make arrests,代理は、逮捕をする認可を与えられる
authorize,権威を与える；正式に許可する,ˈɔθəˌraɪz,"〈人〉‘に'(…する)権限を与える《+『名』〈人〉+『to』 do》 
〈物事〉'を'正式に認可する,公認する;(慣例によって)…'を'認める","While long-term credit banks are authorized by law to issue bonds to raise fund, they are not allowed to take deposits the way ordinary banks are.",長期信用銀行は資金を調達するために債券発行することが法によって認可されるが、彼らは普通銀行がのような方法で預金を取ることができない。
auto,オート；自動車,ˈɔtoʊ,《米話》=automobile,Auto imports will take a nose-dive in the first quarter.,自動車の輸入は第一・四半期には急減するでしょう。
automate,【動/自】〈工場・機械〉に自動装置をつける【動/他】をオートメーション化する,ˈɔtəˌmeɪt,"【動/自】〈工場・機械〉‘に'自動装置をつける
【動/他】'を'オートメーション化する","If technology has a role in all this it is less to automate work out of existence than to open up new realms for re/creation.
","もし テクノロジー が 、 こうした 目的 の ため に ある なら 、 それ は 労働 を なくす よう な 自動 化 より も 、 再 創造 の ため の 新しい 領域 を 開く 方向 へ 向かう べき だろ う 。
"
automatic,自動式の；機械的な,ˌɔtəˈmætɪk,"『自動の』,自動装置(機械)の 
(行動などが)『無意識の』,機械的な 
(銃砲が)自動式の 
自動機械 
自動式ライフル(ピストル)",List data can easily be totalled using the automatic sum function.,リストのデータは、自動集計機能を使って簡単に集計することができます。
automobile,自動車,ˈɔtəmoʊˌbil,"《米》『自動車』 
自動の;自動車の",A lot of people are killed in automobile accidents every year.,毎年多くの人々が自動車事故で亡くなっている。
autonomous,【形】自治の / 自治権のある,ɔˈtɑnəməs,"自治の,自治権のある",an autonomous judiciary,自治司法組織
autonomy,自治,ɔˈtɑnəmi,"〈U〉(行動などの)自主性 
〈U〉自治,自治権 
〈C〉自治体,自治団体","The demise of the shoen system (manorialism) and the establishment of a unified authority collapsed the autonomy function of the temples and during the early-modern times shue became just a council institution in the temples, but the autonomy as seen in the shue in such temples, in the organization called ""XXX shu"" which had the decision making function by the council system, in the soson (a community consisting of peasants' self-governing association) and in the city during the medieval and the modern period, which, some thought, were linked with the formation of the system of autonomy during the early-modern times in Japan.
","荘園制の崩壊や統一政権の樹立によって寺院の自治機能が解体され、集会も近世期には寺院内の評議機関の1つに過ぎなくなるが、こうした寺院における集会と中世・近世における合議制による意思決定機能を有した「○○衆」と呼ばれる組織や惣村や都市などに見られる自治など、前近代の日本における自治制度の成立と結びつける考え方もある。
"
availability,可用性,əˌveɪləˈbɪləti,"利用できること,有用性,利用価値",He checks the price and availability of the product.,彼が商品の価格・在庫をチェックする
averse,嫌って；気が進まなくて；反対して,əˈvɜrs,(…を)きらっている《+『to』(『from』)+『名』(do『ing』)》,"wherefore the old man is often snappish, irritable, hard to please, and selfish, tolerant only of his own household, but averse to strangers and to all who do not administer to his comfort or to his necessities.  
","それ 故 、 年寄り は 怒り っぽく 、 短気 で 気むずかしく 、 我が 儘 で 、 そして 自分 の 家族 に は 寛容 だ が 、 よそ者 や 、 自分 の 好み で ない もの や 、 自分 に 必要 で ない もの は 、 全て 嫌悪 する 。
"
aversion,嫌悪,əˈvɜrʒən,"〈U〉(…に対する)嫌悪(けんお),けぎらい《+『to』+『名』(do『ing』)》 
〈C〉大きらいな人(もの)",I acquired a strong aversion to television,私は、テレビに対する強い嫌悪を持つようになった
aviation,"航空；飛行術,航空学；航空機産業",ˌeɪviˈeɪʃən,"飛行,航空;飛行術 
航空機産業",The world's aviation industry is growing increasingly worried about crashes.,世界の航空産業は墜落事故についての懸念を募らせている。
await,待つ,əˈweɪt,"〈人が〉…'を'『待つ』 
〈物・事が〉〈人〉'を'待ちうける,待ちかまえる",My predecessors had asked their questions of nature with genuine curiosity and awaited her reply.,僕の先輩たちは、純粋な好奇心を抱いて自分たちの疑問を自然に問いかけ、自然が答えるのを待った。
awkward,気まずい；ぎこちない,ˈɑkwərd,"(人・動作などが)『ぶかっこうな』,『ぎごちない』,無器用な(clumsy) 
(物が)『扱いにくい』,使いにくい 
(状態・問題などが)『やっかいな』,始末に困る",He asked an awkward question.,彼は答えにくい質問をした。
axis,軸,ˈæksəs,"〈C〉軸,軸線;枢軸(すうじく) 
《the A-》枢軸国(第二次大戦当時の日本・ドイツ・イタリアなど)",The Earth rotates on its axis.,地球は地軸を中心として回転している。
backward,後方,ˈbækwərd,"《名詞の前にのみ用いて》(方向が)『後方への』,もとへの 
《名詞の前にのみ用いて》『逆の』,反対からの 
進歩(発達)が遅れている 
(性格が)内気な(shy),隠っ込み祉案の 
『後方へ』,後ろ向きに 
(方向・順序・時間が)『逆に』,反対に",She is backward in expressing her opinion.,彼女は自分の意見をなかなか言おうとしない。
bail,【名/U】保釈；保釈金【C】保釈保証人【動/他】を保釈出所させる,beɪl,"保釈;保釈金;〈C〉保釈保証人 
(保釈金を払って)…'を'保釈出所させる《+『名』+『out,』+『out』+『名』》","""I offer bail.""
","「 保釈 金 を 払い ます 。 」
"
ballot,票,ˈbælət,"〈C〉投票用紙 
〈U〉〈C〉無記命投票,(一般に)投票 
〈C〉投票総数 
《the bal・lot》投票権 
投票する,投票で決める",his principal opponent unblushingly declared victory before the ballots had been counted,票が数えられる前に、彼の主な相手が、あつかましく勝利宣言をした
banker,銀行家,ˈbæŋkər,"『銀行家』,銀行経営者 
(ゲームの)親,胴元",The actress said that she was engaged to a banker.,その女優は銀行家と婚約したといった。
bankrupt,【形】破産した；欠いた【動/他】を破産させる【名/C】破産者,ˈbæŋkrəpt,"【名/C】『破産者』,支払い不能債務者
【形】『破産して』 
《補語にのみ用いて》(…を)欠いて,(…に)欠ける《+『of』(『in』)+『名』》 
【動/他】 …'を'破産させる;…'を'行きづまらせる",He sent me a letter to the effect that his poultry farm would go bankrupt sooner or later.,養鶏業は遅かれ早かれ破産するだろうという旨の手紙を彼は私によこした。
