英単語,訳,発音,英語の意味,解説,用例,用例・訳
sunshine,日光,ˈsʌnˌʃaɪn,the warmth and light of the sun,"『日光』 
日なた 
(物事の)『明るさ』,陽気,快活",A meal without wine is like a day without sunshine.,葡萄酒のない食事なんて太陽の輝きのない日のようなものだ。
tablecloth,テーブルクロス,ˈteɪbəlˌklɔθ,a cover for a table,"テーブル掛け,テーブルクロス",We placed a white tablecloth over the table.,私たちはテーブルの上に白いテーブルクロスを置いた。
taker,【名/C】応じる人；受ける人；購読者,ˈteɪkər,someone who does not give but only takes,"【名/C】《通例~s》応じる人；受ける人；購読者
《risk-takerなど複合語で》受ける人；取る人
《新聞などの》購読者","At that time, Ieyasu was a frequent taker of medication, and he pointed out their importance not only for himself but also for higher-ranking samurai, and court nobles, etc.
","当時、家康は相当な薬愛用家であり、自分のみならず、高級武士や公家等にその大切さを説いた。
"
tasty,おいしい,ˈteɪsti,delicious,"(特に塩味ず)おいしい,味が良い 
《話》(特に情報が)おもしろい,興味がある",Nothing is so tasty as the dish you make.,君が作る料理ほどおいしいものはない。
thirsty,喉が渇いた,ˈθɜrsti,in need of water,"(人が)『のどの渇いた』 
(物事が)のどを渇かせる 
(土地・植物などが)乾いた 
《補語にのみ用いて》《be thirsty for+名》…を『渇望(熱望)している』,しきりに求めている",He is thirsty for fame.,彼は名声を強く望んでいる。
timely,タイミングの良い,ˈtaɪmli,to happen at the right time or good time,時宜を得た,the timely filing of his income tax return,彼の所得税申告の適時のファイリング
timer,【名/C】時間記録係/秒時計 / タイマー,ˈtaɪmər,something that counts seconds and minutes,"(作業・競技などの)時間記録係,計時員 
秒時計,ストップウォッチ 
ある決められた時間に機械,器具などが動くように制御する装置,タイマー",The button battery in the PC's internal timer has gone flat.,PC内部のタイマー用ボタン電池が切れた。
trainee,研修生,ˈtreɪˈni,someone who is learning on the job,"訓練(特に職業訓練)を受けている人,徒弟,見習い 
《米》(軍事教練を受ける)新兵","At first, the trainees were awkward in his company.",最初に、訓練生達は彼が一緒だったので落着かなかった。
trainer,トレーナー,ˈtreɪnər,one who teaches a person or animal to do something,"訓練する人,仕込む人,(運動選手の)トレーナー,調教師",Suddenly the lion came at his trainer.,突然そのライオンは調教師に襲いかかった。
traveler,旅行者,ˈtrævələr,a tourist or adventurer who visits many countries,"『旅行者』,旅人 
(また traveling salesman,《英》travelling salesman)巡回販売員,外交員,注文取り",The travelers made haste as evening drew near.,夕方が近づいたので旅人達は急いだ。
uncomfortable,不快な,ənˈkʌmfərtəbəl,not pleased or happy with a situation or thing,"(物が)『心地よくない』 
(人が)『不愉快に感じる』","As a result, people have got so used to being paid this way that they're uncomfortable with any other.",その結果、人々はこの支給方法にすっかり慣れてしまい、ほかの方法では落ち着かなくなりました。
unemployed,失業者,ˌʌnɛmˈplɔɪd,having no job,"仕事のない,失業した 
利用してない,遊ばせてある 
失業者","Because he was unemployed, their wedlock failed.",彼が失業したので、彼らの結婚生活は破綻した。
unexpected,予想外,ˌʌnɪkˈspɛktɪd,to be a surprise,"『予期しない』,思いがけない",Some unexpected difficulties have arisen.,予期せぬ困難が起こった。
unhappy,"【形】悲しい,気の滅入る；不幸な,不運な,みじめな；適切でない,まずい",ənˈhæpi,feeling little or no joy,"【形】悲しい,気の滅入る 
(物事が)不幸な,不運な,みじめな 
(物事が)適切でない,適当でない,まずい",I inferred from our conversation that he was unhappy with his job.,彼との会話から彼が仕事に満足していないと私は推論した。
unload,降ろす；売り払う；(カメラ・銃)から弾丸やフィルムを抜く,ənˈloʊd,to remove something (usually from a truck),"(…から)〈荷・乗客〉‘を'『降ろす』《+名+from+名》 
〈船.車など〉‘の'積み荷を降ろす 
〈銃.大砲など〉‘から'弾丸を抜く 
(また《英》off-load)〈悩みなど〉‘を'口にする;(人)〈悩みなど〉‘を'打ち明ける《+名+to(on)+名〈人〉》 
《話》〈不用品など〉'を'処分する 
〈船などが〉積み荷を降ろす",Can I unload the high speed film?,高感度フィルムは出してもいいですか。
unnecessary,【形】不要な,ənˈnɛsəˌsɛri,not needed,"『必要のない』,無用の,よけいな",It is very important to tell the necessary from the unnecessary.,必要なものと必要でないものを見分けることがきわめて重要である。
unpaid,未払い,ənˈpeɪd,working for no money,"未払いの,未納の 
無給の,無報酬の",My telephone service was cut off because of unpaid bills.,料金滞納で電話を止められた。
unreal,非現実的な,ənˈril,not true to life,"実体のない;非現実的な,架空の 
信じられぬほどすばらしい",His concert was unreal.,彼のコンサートは最高だった。
unsure,"確信がない, 不確かな; 信頼できない.",ənˈʃʊr,not certain or sure,"不安定な,不確実な",I am utterly unsure of myself.,自分にまったく自信が持てません
unused,未使用,ənˈjuzd,not yet put into use,"使用していない 
《補語にのみ用いて》(…に)慣れていない《+to+名(doing)》",she was delicate and refined and unused to hardship,彼女は繊細で、洗練されていて、困難に慣れていなかった
unusually,異常,ənˈjuʒˌuəli,not normal or usual,"【副】異常に；一風変わって 
《話》非常に,ひどく","This autumn I am, unusually, watching many drama series.",この秋は、珍しくドラマをたくさん見ている。
whoever,誰でも,huˈɛvər,anyone who,"《名詞節を導く関係代名詞》(先行詞を含む)…『する[ところの]だれでも』 
《譲歩節を導く関係代名詞》『だれが…でも』 
《疑問代名詞whoの強調形》《話》『いったいだれが』",Whoever comes will be welcome.,来る人は誰でも歓迎されます。
willingness,意欲,ˈwɪlɪŋnəs,being happy to do something,喜んですること;(…喜んで)(…する)気持ち《+to do》,Dick showed a willingness to help us.,ディックは私たちを喜んで助けようとする様子を見せた。
windy,風の強い；強い風の吹く；中身のない; 大げさな.,ˈwɪndi,weather that is stormy or gusty,"『風の吹く』,風の強い 
風の当たる,風を受ける 
内容のない,空虚な;おしゃべりな,口数の多い 
《おもに英俗》びくびくした,おびえた",It's a windy day.,風の強い日です。
yearly,毎年,ˈjɪrli,happening every 12 months,"『年1回の』;毎年の 
1年間の,年間の 
年1回,毎年","Allotment gardens (Klein Garten): Seventeen land parcels, yearly rent
","クラインガルテン（17区画/年間契約）
"
accent,特徴的な発音；なまり；強勢；強調点；強調する,ˈæksɛnt,special manner of oral expression,"〈C〉〈U〉『アクセント』,『強勢』;アクセント記号 
〈C〉(言葉の)なまり 
《複数形で》『口調』,音調(tone) 
〈C〉〈U〉強調,重視 
…‘に'アクセントをおく;…‘に'アクセント符号をつける 
…'を'強調する,目立たせる",She speaks English with a foreign accent.,彼女は外国なまりのある英語を話す。
accessible,入手できる；手が届く；行ける,ækˈsɛsəbəl,"available, easy to reach","(またget-at-able)近づきやすい,入りやすい,達しうる 
《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+『to』+『名』》",She is readily accessible to flattery.,彼女はすぐにお世辞に乗りやすい。
accordingly,それに応じて,əˈkɔrdɪŋli,"therefore, so","『従って』,それだから,それゆえ(therefore) 
『それに応じて』,適宜に",You must judge the situation and act accordingly.,状況を判断してそれに応じて行動しなければならない。
actively,積極的に,ˈæktɪvli,in a way that takes effort and action,活発に;積極的に,We actively support work in other regions.,われわれが地域の方々に積極的に活動の支援を行います
