英単語,訳,発音,英語の意味,解説,用例,用例・訳
directive,"【名/C】《...に関する》指令,命令,訓令《on ...》【形】指導的な,指示的な；《...を》指令する《of ...》",dəˈrɛktɪv,formal an order from an authority,"【名/C】《...に関する》指令,命令,訓令 《on ...》
【形】指導的な,指示的な
《...を》指令する《of ...》
","Hoan-den was abolished because of the Shinto Directive (direction for the separation of government and religion) issued by the General Headquarters of the Allied Powers (GHQ) on December 15, 1945.
","昭和20年12月15日、連合国軍最高司令官総司令部の神道指令のため、奉安殿は廃止となった。
"
disturbance,騒乱；妨害,dɪˈstɜrbəns,a noise or something that stops you from continuing what you were doing,"〈U〉乱す(騒がす,妨害する)こと;乱れた状態 
〈C〉騒ぎ,騒動,動乱 
〈C〉乱す(騒がす,妨害する)もの",pugnacious spirits...lamented that there was so little prospect of an exhilarating disturbance- Herman Melville,けんか腰の精神･･･騒ぎの後に快適な気持ちになる可能性はほとんどなく、後悔する。−　ハーメン・メンヴィル
economically,経済的に,ˌɛkəˈnɑmɪkli,in an efficient manner; without using too much effort,"倹約して 
経済的に","It is important to think over what you will do, to pursue your studies economically, and effectively.",することを考え、経済的かつ効率的に研究を遂行する必要があります。
economist,経済学者,ɪˈkɑnəmɪst,a person who studies economics,経済学者,"Some economists estimate that housewives' services, valued in money, would amount to about 25% of GNP.",経済学者の中には、主婦の労働は、現金に換算すると、ＧＮＰの約２５パーセントにのぼると見積もる人もいる。
enormously,"【副】非常に；ものすごく,途方もなく",ɪˈnɔrməsli,"extremely, by a large amount","【副】非常に；ものすごく,途方もなく
莫大に；非常に
（形容詞形：enormous）
","These shows turned out to be enormously popular with Americans, however, and there is little doubt that Ladd contributed towards the short-lived success of Japanese animation in the 1960s.
","でも こうした 番組 は アメリカ 人 に 大 好評 で 、 だから ラッド が 1960 年代 の 短命 な 日本 アニメ の 成功 に 貢献 し た こと は 間違い ない 。
"
equality,平等,ɪˈkwɑləti,the idea that all people have the same rights,"(数量・程度・価値・大きさなどで)『等しいこと』,均等;(特に,権利・責任などにおいて)(…間の…の)『平等』《+『of』+『名』+『between』+『名』》",He was in favor of equality for all.,彼はすべて平等であることに賛成した。
flip,反転する；はじく,flɪp,to rotate or turn something over,フリップ(ワインなどに砂糖・卵・香料を混ぜた飲み物),flip me the beachball,ビーチボールを私に投げてください
ghost,幽霊,goʊst,"spirit of a dead person, appearing to the living","『幽霊』,亡霊,死者の霊 
(…の)ほんのわずか《+『of』+『名』》 
(…の)幻,面影《+『of』+『名』》 
=ghost writer 
(テレビの画面の)ゴースト 
=ghostwrite",Her hair stood on end at the sight of a ghost.,彼女は亡霊を見て髪を逆立てた。
hedge,生け垣；防衛,hɛʤ,a fence made with small trees; avoid or try to avoid fulfilling,"『生け垣』 
(一般に)生根,障壁,境界 
(危険などから)守るもの,(…に対する)保護手段《+『against』+『名』》 
…‘を'生け垣)垣根,さく)で囲む 
〈かけ,投資〉‘を'両方にかけて丸損を防ぐ 
(自由に動けないように,障害などで)…‘を'囲む,束縛する《+『名』+『in』(『round』)+『with』+『名』,+『in』(『round』)+『名』+『with』+『名』》 
確答をしない,逃げ道を作っておく",He felt hedged in with rules.,彼は規則に縛られて動きがとれない感じがした。
identification,確認；識別；身分証明書,aɪˌdɛntəfəˈkeɪʃən,(card or paper) that proves who a person is,"〈U〉同一であることの確認(証明),身元確認,身分証明 
身分証明書","In the U.S., you usually have to show identification in order to buy alcohol.",アメリカでは酒を買うには自分を証明しなければならない。
incredible,信じられない,ɪnˈkrɛdəbəl,very hard to believe,"『信じられない』,信用できない 
途方もない,驚くべき(surprising)",The cook was astonished at his incredible appetite.,料理人は彼の信じられない程の食欲にとても驚いた。
incredibly,信じられないほど,ɪnˈkrɛdəbli,"extremely, hard to believe",信じられないほど,"He told me he was incredibly rich and owned a Ferrari, but I saw through him at once.",彼は自分が信じられないほど金持ちでフェラーリを持っていると言ったが、私はすぐに彼の正体を見破った。
indicator,測定器；指針,ˈɪndəˌkeɪtər,"an instrument that shows conditions in a machine, such as temperature, speed, pressure; in chemistry: a compound that changes color in the presence of an acid or a base","指示する人(物),指示器,表示器;指針 
(リトマスなどの)指示薬",the rate of unemployment is an indicator of the health of an economy,失業率は経済の健康状態の指針である
individually,個別に,ˌɪndɪˈvɪʤuəli,in a way involving only that person,"個々に,個別的に 
個人として,個人的に 
個性的に,独自のやり方で","taken individually, the rooms were, in fact, square",個々に見ると、部屋は、実際は、四角かった
industrialization,工業化,ɪnˌdʌstriəlɪˈzeɪʃən,process of creating and developing many businesses,"産業化,工業化","The modernization of sake breweries meant an attempt to decrease costs by industrialization.
","酒蔵の近代化とはすなわち、もっと工業的にコスト削減をめざすということであった。
"
industrialize,工業化する,ɪnˈdʌstriəˌlaɪz,To make into something at an industrial level,"…‘を'産業化する,工業化する",an industrialized land,工業化された土地
inequality,不平等,ˌɪnɪˈkwɑləti,situation where things are not equal/fair,"〈U〉〈C〉(大きさ・数・量・程度などが)等しくないこと,不平等,不同 
《複数形で》表面に不ぞろい,でこぼこ 
〈U〉不等;〈C〉不等式","Certainly there are inequalities in level of education even within a generation, but there have been no visible inequities between machines and materials in recent years.",確かに世代でも教育の程度に差が出るが、近年の機材の差には目も当てられない。
influential,影響力のある,ˌɪnfluˈɛnʧəl,having the power to cause change; having influence,"『有力な』,影響を及ばす;勢力のある","If other conditions are equal, the temperature must be the most influential element in this experiment.",他の条件が等しいなら、温度がこの実験でもっとも影響を与える要素であるに違いない。
instability,不安定,ˌɪnstəˈbɪlɪti,not stable; changeable,"不安定,不確定;(心の)不安定,変わりやすさ","even at the possible cost of instability in the code and user-base burnout if any serious bug proved intractable.
","コード の 安定 性 が 犠牲 に なっ たり 、 なにか 深刻 な バグ が どう しよう も なく なっ たら 、 ユーザ 基盤 に 見放さ れる かも しれ ない という 危険 を おかし て まで それ を やっ て い た 。
"
intensity,激しさ；強度,ɪnˈtɛnsəti,"great energy, strength, or concentration","(感情・行動・熱・色などの)『強烈さ』,熱烈さ,強度",He was overwhelmed by the intensity of her love.,彼は彼女の愛情の強さに圧倒された。
intensive,激しい；集中的な,ɪnˈtɛnsɪv,needing great effort for a short period of time,"『集中的な』,徹底的な,強度の,激しい 
(語が)強意の,強調の 
=intensifier","Surpassing labour intensive, capital intensive, the age has shifted greatly to knowledge intensive.",労働集約・資本集約を超えて、時代はナレッジ・インテンシブへと大きくシフトしている。
