英単語,訳,発音,英語の意味,解説,用例,用例・訳
as,同じぐらい；～のように,æz,word that is used to compare two equal things,"(…と)『同じくらい』,『同様に』 
《比較》『…ほど』,『…くらい』,…ように 
《様態・程度》『…のように』,…と同じように 
《時》『…のときに』(when);…の間に,…するうちに(while) 
《話》《原因・理由》『…だから』,…なので 
《譲歩》《文》…だけれども(though) 
《先行する名詞の内容を制限して》『…のような』 
《先行の,または後続の節の内容を受けて》『それは…だが』,…のように 
《役割・資格・機能などを表して》『…として』 
《seem,appear,consider,pass,regard,treat,know,think of などの動詞の後で補語の働きをする語の前に置いて》…と[して] 
《前置詞・形容詞・分詞などの前に置いてその意味を限定して》…として[の],…とみなして,…と考えて 
たとえば(for instance)",A Japanese person would never do such a thing.,日本人ならそんなことはけっしてしないでしょう。
ashamed,恥じている,əˈʃeɪmd,Feeling shame or guilt because you did something wrong,"『恥じて』,恥ずかしく思って 
《補語にのみ用いて》《『be ashamed to』 do》(…するのを)ためらって,気おくれして","It can hardly be called research... just an amateur's hobby, I'm ashamed to say.",研究というほどでも・・・素人の道楽ですよ、おはずかしい。
ask,"【動/他】について質問する / を尋ねる /≪...について≫に質問する≪about≫ / を頼む / ≪...を≫に頼む≪for≫ / を招待する【動/自】≪...について≫質問する≪about≫ / 頼む,求める",æsk,To say to someone that you want something,"〈事〉‘に'『ついて質問する』,'を'『尋ねる』,問う 
(…について)〈人〉‘に'『質問する』,尋ねる,問う《+『名』〈人〉+『about』+『名』(do『ing』)》 
〈事〉'を'『頼む』,求める,必要とする 
(…を)〈人〉‘に'『頼む』,求める《+『名』〈人〉+『for』+『名』》 
(…に対して)〈ある金額〉'を'請求する《+『名』+『for』+『名』》 
〈人〉'を'招待する,招く(invite) 
(…について)『質問する』,尋ねる《+『about』+『名』》 
頼む,求める","""What's the matter?"" asked the little white rabbit.",「どうかしたの？」と小さな白いウサギが聞きました。
at,～の所で；～に,æt,in the place where something is,"《場所・位置のある一点》『…で』,『…に』 
《時間・年齢・目盛りなどの一点》『…に』,『…で』 
『…の最中で』,に出席して 
『…の状態に』(『で』) 
『…を目指して』,に向かって 
《移動の経路》…を通って,…から 
《動作・感情などの原因・理由・動機》『…によって』,…を見て(聞いて,知って) 
《運動・動作の方法・様態》…で,…のやり方で 
《数量・割合・率》…で,…に 
《能力・性質などの存在場所》…が,…の点で",It is not rare at all to live over ninety years.,９０歳以上生きることは決してまれではない。
autumn,秋,ˈɔtəm,"The season when the weather is getting colder, after summer","『秋』(北半球では秋分から冬至まで,南半球では北半球の春分から夏至まで) 
爛熟(ちんじゅく)期,衰退期,初老期 
秋の",Leaves turn red in autumn.,木の葉は秋に紅葉する。
aware,【形】知っている / 気づいている,əˈwɛr,Knowing or feeling that something exists,"《補語にのみ用いて》『知っている』,『気づいている』,感づいている 
見聞の広い,世事に通じた",Are you aware of anything concerning his past life?,彼の前身については何かご存じですか。
awareness,認識,əˈwɛrnəs,Having knowledge of something,"(…に)気づいていること《+『of』+『名』(do『ing,wh-節』)》,(…であることに)気づいていること《+『that節』》",The Government seems intent upon silencing an organization which has done so much to raise awareness of the human rights situation in Sudan.,政府はスーダンの人権状況への関心を高めるために尽力してきた団体を黙らせることに懸命になっているようだ。
away,離れて,əˈweɪ,Not here; far from here; in a different direction,"(位置が)『離れて』,遠くに 
(…から)不在で,るすで《+『from』+『名』》 
(移動して)『あっちへ』,『向こうへ』 
わきの方へ;別の方向へ 
なくなって,消えて 
せっせと,絶えず(continuously) 
手放して,使用しなくなって 
《話》《命令文で》ちゅうちょせず(without hesitation);すぐに,ただちに",You should stay away from cults like that before you turn into a moron.,馬鹿が移るまえにそのような宗教に関わらんほうがいい。
awful,恐ろしい；ひどい,ˈɑfəl,Very bad; horrible; terrible,"(光景・事故などが)『恐ろしい』,すさまじい 
《話》(行為が)『ひどい』,見苦しい 
《話》(程度が)大きい,すごい(great) 
《俗》ひどく,すごく(very, extremely)",I made an awful mistake in the test.,僕はテストでひどい間違いをした。
baby,赤ん坊,ˈbeɪbi,"very young child, who cannot yet speak","『赤ん坊,赤ちゃん』 
(家族・グループの中で)いちばん年少の人,最年少者 
赤ん坊みたいな人 
(また『babe』)《米俗》《特に若い女の子への呼びかけた用いて》かわいこちゃん 
赤ん坊の[ような],赤ちゃん用の 
《話》…'を'赤ちゃんのように扱う,甘やかす",Is it wrong to leave my baby crying?,赤ちゃんは泣かせたままにしてはいけないのでしょうか？
back,もとに戻って,bæk,have returned to a place you were before,"〈C〉(人・動物の)『背』,『背中』,背部 
《通例the~》(正面に対して)(…の)『後ろ』,『裏』,奥,後部《+『of』+『名』》 
《通例the back》背に似たもの;(手足の)甲;(刀の)みね;(いす・本の)背 
〈C〉〈U〉(フットボール・ホッケーなどの)後衛 
《名詞の前にのみ用にて》『後ろの』,後部にある,裏の 
後もどりする,逆の 
遅れている,未払いの 
(中心から)遠い,へんぴな,奥地の 
(音声が)後舌音の 
『後方へ』,『後ろに』(backward) 
(場所・状態が)『もとへ』,帰って,返して 
(時間的に)『さかのぼって』,今から…前に(ago) 
〈車など〉'を'『後退させる』 
(…で)〈人・計画など〉'を'『後援する』,支持する(support)《+『名』+『in』+『名』》 
(競馬で)…に賭ける 
(…で)…‘の'伴奏をする《+『名』+『by』+『名』》 
…‘の'裏手にある,背景をなす 
〈手形など〉‘に'裏書きする(endorse) 
《しばしば受動態で》〈本〉‘に'背をつける,(…で)…'を'裏打ちする《+『名』+『with』+『名』》 
後ずさりする,後退する(move backward)",I will be back soon.,すぐに戻ります。
bad,悪い,bæd,Not good; wrong,"『悪い』,不良の;不正な 
『適当でない』,欠陥のある 
《補語にのみ用いて》(…に)有害な《+『for』+『名』》 
病気の 
ひどい,激しい,重い 
腐敗した,腐った 
不快な,いやな 
『へたな』,まずい 
《補語にのみ用いて》《話》(…を)悪いと(残念に)思っている《+『about』+『名』(『wh-節』)》 
悪いこと;悪い状態 
《話》ひどく,大いに(badly)","I'm told ""idiot"" is a bad word, but where I grew up it doesn't really feel that bad.",「馬鹿」という言葉は、悪い言葉だと言われているが、私の成長してきた環境では、 それほど悪い言葉ではなかったように思う。
badly,悪く,ˈbædli,Not in a good way; not as wanted or liked,"『悪く』,まずく,へたに 
『大いに』,『ひどく』,非常に","If it's badly insulated, it won't warm up regardless of how much heating you use.",断熱が悪いと、いくら暖房してもちっとも暖かくならない。
